Algorithm,Avg Waiting Time,Avg Turnaround Time,Num Customers,Arrival Time Mean,Burst Time Mean
🎬 First-Come-First-Serve (FCFS),8.93869803987486,13.883538639324348,5,14.682616478603416,6.302743169643643
🔍 Shortest Job Next (SJF),24.843230526975685,31.55286254529412,5,14.682616478603416,6.302743169643643
🔍 Shortest Remaining Time First (SRTF),4.946731928871037,7.346023954071354,5,14.682616478603416,6.302743169643643
🎬 First-Come-First-Serve (FCFS),0.0,6.212663426858121,1,12.176197601331058,9.141487414192877
🔍 Shortest Job Next (SJF),0.0,4.713193597488415,1,12.176197601331058,9.141487414192877
🔍 Shortest Remaining Time First (SRTF),0.0,7.818909410893848,1,12.176197601331058,9.141487414192877
🎬 First-Come-First-Serve (FCFS),0.0,2.8250379390116827,1,12.498191870024318,5.208712134646851
🔍 Shortest Job Next (SJF),0.0,2.8491647626660743,1,12.498191870024318,5.208712134646851
🔍 Shortest Remaining Time First (SRTF),0.0,3.359694865164996,1,12.498191870024318,5.208712134646851
🎬 First-Come-First-Serve (FCFS),15.56016722212798,32.994829661199425,3,7.336343587748754,13.310464713581606
🔍 Shortest Job Next (SJF),12.418654503651489,27.303219243711833,3,7.336343587748754,13.310464713581606
🔍 Shortest Remaining Time First (SRTF),7.773939252690486,12.896135152989737,3,7.336343587748754,13.310464713581606
🎬 First-Come-First-Serve (FCFS),15.047755172384278,25.59051482855979,4,7.447569242907585,8.969729349923963
🔍 Shortest Job Next (SJF),12.573904574713357,21.225299141359287,4,7.447569242907585,8.969729349923963
🔍 Shortest Remaining Time First (SRTF),9.131116991976677,11.380451854946287,4,7.447569242907585,8.969729349923963
🎬 First-Come-First-Serve (FCFS),30.761325980063464,41.34775930996186,5,12.685847704179665,10.549192329388855
🔍 Shortest Job Next (SJF),24.331490610720312,35.817384918043125,5,12.685847704179665,10.549192329388855
🔍 Shortest Remaining Time First (SRTF),15.33708268188362,18.02243428312573,5,12.685847704179665,10.549192329388855
🎬 First-Come-First-Serve (FCFS),19.85171861309021,30.103606351126757,4,7.378987135989595,8.632845082385705
🔍 Shortest Job Next (SJF),10.607872191505692,18.720689616246954,4,7.378987135989595,8.632845082385705
🔍 Shortest Remaining Time First (SRTF),5.908171791782813,10.609721182393015,4,7.378987135989595,8.632845082385705
🎬 First-Come-First-Serve (FCFS),20.000565956679942,30.81049705493166,4,13.931202610215367,13.488149956271393
🔍 Shortest Job Next (SJF),7.860752864143574,18.10709837260595,4,13.931202610215367,13.488149956271393
🔍 Shortest Remaining Time First (SRTF),23.279781921858515,27.87725050467557,4,13.931202610215367,13.488149956271393
🎬 First-Come-First-Serve (FCFS),12.911559871580884,22.064470258142688,2,12.564355654823416,6.891214535857967
🔍 Shortest Job Next (SJF),0.0,9.285792822390306,2,12.564355654823416,6.891214535857967
🔍 Shortest Remaining Time First (SRTF),11.721083603159833,16.334509224796033,2,12.564355654823416,6.891214535857967
🎬 First-Come-First-Serve (FCFS),0.0,10.580038994998624,1,9.452263964281483,8.059687609239855
🔍 Shortest Job Next (SJF),0.0,7.624509140014048,1,9.452263964281483,8.059687609239855
🔍 Shortest Remaining Time First (SRTF),0.0,4.916641337144224,1,9.452263964281483,8.059687609239855
🎬 First-Come-First-Serve (FCFS),0.0,7.665377250228548,1,7.614398238222924,11.380837716978078
🔍 Shortest Job Next (SJF),0.0,6.647175182967489,1,7.614398238222924,11.380837716978078
🔍 Shortest Remaining Time First (SRTF),0.0,10.730599259988109,1,7.614398238222924,11.380837716978078
🎬 First-Come-First-Serve (FCFS),4.526722561884383,13.45962607946107,2,10.015341563280064,12.263316483892815
🔍 Shortest Job Next (SJF),0.0,10.772992806971711,2,10.015341563280064,12.263316483892815
🔍 Shortest Remaining Time First (SRTF),9.729418751782255,18.12915416722344,2,10.015341563280064,12.263316483892815
